frame,x_px,y_px,angle_raw_rad,angle_unwrap_rad, omega
223,608.328,537.846,-0.945741,5.33744,1.64579
224,613.216,534.336,-0.918311,5.36487,1.67129
225,617.801,530.288,-0.890456,5.39273,1.65292
226,622.636,526.657,-0.862908,5.42028,1.72621
227,627.195,522.291,-0.834138,5.44905,1.67019
228,631.781,518.263,-0.806301,5.47688,1.74592
229,636.319,513.777,-0.777202,5.50598,1.73775
230,640.672,509.154,-0.74824,5.53495,1.63383
231,644.689,504.738,-0.72101,5.56218,1.79151
232,649.1,499.892,-0.691151,5.59203,1.77386
233,653.029,494.729,-0.661587,5.6216,1.63885
234,656.594,489.916,-0.634272,5.64891,1.89581
235,660.622,484.281,-0.602676,5.68051,1.79114
236,664.262,478.841,-0.572823,5.71036,1.82595
237,667.78,473.172,-0.542391,5.74079,1.72536
238,671.173,467.848,-0.513635,5.76955,1.85591
239,674.278,461.811,-0.482703,5.80048,1.83142
240,677.21,455.794,-0.452179,5.83101,1.82791
241,680.343,449.88,-0.421714,5.86147,1.77359
242,682.749,443.852,-0.392154,5.89103,1.94462
243,685.255,437.199,-0.359744,5.92344,1.78954
244,687.826,431.167,-0.329918,5.95327,1.86592
245,689.725,424.604,-0.29882,5.98437,1.84113
246,691.812,418.195,-0.268134,6.01505,1.79123
247,693.178,411.78,-0.23828,6.04491,1.98984
248,694.688,404.664,-0.205116,6.07807,1.79006
249,696.365,398.318,-0.175282,6.1079,1.98861
250,697.1,391.068,-0.142138,6.14105,1.91049
251,698.235,384.169,-0.110297,6.17289,1.73868
252,698.792,377.831,-0.081319,6.20187,1.94535
253,699.225,370.728,-0.0488964,6.23429,1.88268
254,699.146,363.839,-0.0175184,6.26567,1.94658
255,699.227,356.728,0.0149245,6.29811,1.89405
256,699.173,349.803,0.0464921,6.32968,1.91458
257,698.695,342.819,0.0784018,6.36159,1.90664
258,698.327,335.847,0.110179,6.39336,1.8492
259,697.171,329.175,0.140999,6.42418,1.90794
260,696.338,322.241,0.172798,6.45598,1.95381
261,695.217,315.171,0.205362,6.48855,1.82401
262,693.933,308.607,0.235762,6.51895,1.92617
263,691.867,301.851,0.267865,6.55105,1.90998
264,689.898,295.14,0.299698,6.58288,1.95396
265,687.782,288.303,0.332264,6.61545,1.89427
266,685.164,281.876,0.363835,6.64702,1.77104
267,682.818,275.835,0.393352,6.67654,1.95329
268,680.321,269.119,0.425907,6.70909,1.95953
269,677.164,262.667,0.458566,6.74175,1.78292
270,674.394,256.742,0.488281,6.77147,1.94796
271,670.686,250.631,0.520747,6.80393,1.89046
272,667.235,244.623,0.552255,6.83544,1.86044
273,663.892,238.661,0.583262,6.86645,1.84923
274,659.83,233.217,0.614083,6.89727,1.81833
275,655.847,227.871,0.644388,6.92757,1.85402
276,651.893,222.331,0.675289,6.95847,1.9021
277,647.183,217.174,0.70699,6.99018,1.80873
278,642.674,212.316,0.737136,7.02032,1.8309
279,638.335,207.188,0.767651,7.05084,1.85281
280,633.719,202.189,0.798531,7.08172,1.8176
281,628.638,197.857,0.828824,7.11201,1.83154
282,623.82,193.165,0.85935,7.14254,1.76295
283,618.726,189.172,0.888733,7.17192,1.72375
284,613.825,185.175,0.917462,7.20065,1.87277
285,608.277,181.122,0.948675,7.23186,1.76559
286,603.15,177.14,0.978101,7.26129,1.69781
287,597.838,173.87,1.0064,7.28958,1.70431
288,592.387,170.795,1.0348,7.31799,1.83422
289,586.721,167.141,1.06537,7.34856,1.71817
290,581.117,164.239,1.09401,7.37719,1.73556
291,575.183,161.875,1.12294,7.40612,1.68993
292,569.792,158.765,1.1511,7.43429,1.62835
293,564.369,156.233,1.17824,7.46143,1.71934
294,558.369,154.233,1.2069,7.49008,1.64166
295,552.669,152.283,1.23426,7.51744,1.72447
296,546.669,150.283,1.263,7.54618,1.56221
297,541.273,148.32,1.28903,7.57222,1.71137
298,535.195,146.724,1.31756,7.60074,1.50837
299,529.867,145.186,1.3427,7.62588,1.68759
300,523.806,143.871,1.37082,7.65401,1.53911
301,518.253,142.786,1.39648,7.67966,1.63304
302,512.323,141.858,1.42369,7.70688,1.53451
303,506.728,141.151,1.44927,7.73245,1.64889
304,500.677,140.791,1.47675,7.75993,1.50419
305,495.178,140.31,1.50182,7.785,1.48877
306,489.734,139.749,1.52663,7.80982,1.46861
307,484.334,139.888,1.55111,7.83429,1.54419
308,478.668,139.856,1.57685,7.86003,1.49143
309,473.194,139.86,1.6017,7.88489,1.48439
310,467.736,139.827,1.62644,7.90963,1.39235
311,462.635,140.233,1.64965,7.93283,1.50764
312,457.12,140.752,1.67478,7.95796,1.33884
313,452.213,141.15,1.69709,7.98028,1.40674
314,447.091,141.868,1.72054,8.00372,1.33676
315,442.252,142.729,1.74281,8.026,1.43053
316,437.121,143.883,1.76666,8.04984,1.35648
317,432.214,144.758,1.78926,8.07245,1.41885
318,427.121,145.883,1.81291,8.0961,1.2319
319,422.647,146.682,1.83344,8.11663,1.38728
320,417.784,148.246,1.85657,8.13975,1.34197
321,413.14,149.93,1.87893,8.16212,1.24217
